Jour,Gare (départ),Gare (arrivée),Arrivée (réelle),Arrivée (prévue),Départ (prévu),Retard (min),Cause
09-03-2023,Paris - Gare de Lyon - Hall 1 & 2,Montpellier Saint-Roch,11:34:00,11:14:00,07:39:00,20,Travaux sur les voies
08-03-2023,Sélestat,Ste-Marie-aux-Mines Place de Gaulle,21:01:00,20:56:00,20:23:00,5,Embouteillage
08-03-2023,Chambéry - Challes-les-Eaux,Bourg-Saint-Maurice,21:26:00,21:21:00,18:35:00,5,Embouteillage
08-03-2023,Paris Nord,Amiens,21:31:00,20:51:00,19:07:00,40,Présence d'individus sur les voies
07-03-2023,Rouen Rive Droite,Paris Saint-Lazare,09:22:00,09:17:00,07:39:00,5,Conditions de départ non réunies
07-03-2023,Metz Ville,Luxembourg (CFL),07:37:00,07:22:00,06:29:00,15,Difficultés lors de la préparation du train
07-03-2023,Paris Saint-Lazare,Rouen Rive Droite,20:07:00,19:47:00,18:11:00,20,Présence d'individus sur les voies
08-03-2023,Neufchâteau,Toul,10:36:00,10:31:00,09:46:00,5,Embouteillage
08-03-2023,Diemeringen,Sarre-Union,13:56:00,13:51:00,13:31:00,5,Embouteillage
07-03-2023,Douai,Valenciennes,21:18:00,21:13:00,19:24:00,5,Embouteillage
09-03-2023,Vierzon,Limoges-Bénédictins,13:10:00,12:55:00,10:44:00,15,Mise à quai tardive en gare origine
08-03-2023,Saint-André-le-Gaz,Lyon Perrache,10:09:00,10:04:00,09:08:00,5,Régulation du trafic
08-03-2023,Chambéry - Challes-les-Eaux,Bourg-Saint-Maurice,20:39:20,20:34:20,18:32:00,5,Embouteillage
08-03-2023,Thionville,Bouzonville,20:37:00,20:22:00,19:18:00,15,Embouteillage
09-03-2023,Calais Ville,Lille Flandres,08:22:00,07:47:00,06:31:00,35,Réutilisation d'un train
09-03-2023,La Bresse - Place du Champtel,Remiremont,08:07:00,08:02:00,06:59:00,5,Embouteillage
08-03-2023,Lille Flandres,Tournai,20:41:00,20:36:00,20:08:00,5,Incident sur un réseau ferré étranger
08-03-2023,Châlons-en-Champagne,Verdun,22:23:00,22:18:00,20:30:00,5,Embouteillage
08-03-2023,Sain-Bel,Lyon-Saint-Paul - La Feuillée,22:05:10,22:00:10,21:00:00,5,Embouteillage
08-03-2023,Sain-Bel,Lyon-Saint-Paul - La Feuillée,23:20:10,23:00:10,22:00:00,20,Embouteillage
08-03-2023,Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache,14:15:00,14:10:00,11:48:00,5,Retard non expliqué
07-03-2023,Metz Ville,Verdun,15:22:00,15:17:00,13:45:00,5,Embouteillage
07-03-2023,Saint-Étienne Châteaucreux,Lyon Part Dieu,15:51:00,15:36:00,14:50:00,15,Défaillance de matériel
09-03-2023,Marseille - Saint-Charles,Aix-en-Provence,14:59:00,14:39:00,13:53:00,20,Présence d'individus sur les voies
08-03-2023,Compiègne,Saint-Quentin,19:18:00,19:08:00,18:04:00,10,Prise en charge de clients en correspondance
08-03-2023,Neustadt Weinstr Hbf,Wissembourg,09:32:00,09:27:00,08:36:00,5,Incident sur un réseau ferré étranger
09-03-2023,Belfort-Ville,Vesoul,08:31:00,08:21:00,07:35:00,10,Réutilisation d'un train
08-03-2023,Calais Ville,Lille Flandres,09:57:00,09:47:00,08:31:00,10,Réutilisation d'un train
07-03-2023,Avignon Centre,Miramas,13:50:00,13:40:00,11:10:00,10,Embouteillage
09-03-2023,Grenoble - gare Routière,Chambéry - Challes-les-Eaux,12:04:00,11:49:00,09:50:00,15,Embouteillage
09-03-2023,Hirson,Lille Flandres,10:00:00,09:55:00,08:07:00,5,Réutilisation d'un train
08-03-2023,Lyon Part Dieu,Grenoble,10:10:30,09:40:30,08:16:00,30,Réutilisation d'un train
08-03-2023,Bellegarde-sur-Valserine Gare,Saint-Gervais-les-Bains - Le Fayet,23:01:00,22:56:00,20:15:00,5,Embouteillage
08-03-2023,Orléans,Paris Austerlitz,07:11:00,07:06:00,06:03:00,5,Difficultés lors de la préparation du train
07-03-2023,Lille Flandres,Paris Nord,08:04:00,07:44:00,06:42:00,20,Réutilisation d'un train
07-03-2023,Paris Nord,Amiens,07:37:00,07:22:00,06:04:00,15,Conditions de départ non réunies
08-03-2023,Chantonnay,La Roche-sur-Yon,08:32:00,08:27:00,07:56:00,5,Réutilisation d'un train
08-03-2023,Joinville,Saint-Dizier,19:47:00,19:42:00,18:52:00,5,Embouteillage
07-03-2023,Verdun,Metz Ville,13:02:00,12:57:00,10:37:00,5,Embouteillage
09-03-2023,Annemasse,Annecy,10:57:00,10:52:00,09:20:00,5,Embouteillage
07-03-2023,Annemasse,Coppet,14:46:00,14:41:00,13:50:00,5,Régulation du trafic
09-03-2023,Troyes,Chaumont,15:15:00,15:10:00,13:25:00,5,Embouteillage
09-03-2023,Bayonne,Toulouse Matabiau,14:43:00,14:23:00,09:48:00,20,Embouteillage
07-03-2023,Laroche - Migennes,Troyes,17:05:00,17:00:00,15:00:00,5,Embouteillage
07-03-2023,Bordeaux Saint-Jean,Saint-Mariens - Saint-Yzan,11:07:00,10:52:00,10:08:00,15,Difficultés lors de la préparation du train
08-03-2023,Auxerre-Saint-Gervais,Corbigny,14:12:00,14:07:00,12:16:00,5,Embouteillage
09-03-2023,Lyon Part Dieu,Lyon Part Dieu,08:25:00,08:20:00,08:20:00,5,Mise à quai tardive en gare origine
09-03-2023,Clamecy,Auxerre-Saint-Gervais,09:50:00,09:40:00,08:24:00,10,Embouteillage
08-03-2023,Chambéry - Challes-les-Eaux,Grenoble,10:06:00,09:51:00,08:57:00,15,Grève SNCF inopinée
08-03-2023,Charleville-Mézières,Givet,20:14:00,19:39:00,18:35:00,35,Réutilisation d'un train
07-03-2023,Luxembourg (CFL),Metz Ville,16:56:30,16:51:30,15:58:00,5,Régulation du trafic
08-03-2023,Troyes,Saint-Florentin - Vergigny,15:58:00,15:53:00,14:15:00,5,Embouteillage
09-03-2023,Laroche - Migennes,Auxerre-Saint-Gervais,13:55:00,13:50:00,13:05:00,5,Embouteillage
08-03-2023,Annemasse,Coppet,10:31:00,10:26:00,09:35:00,5,Difficultés lors de la préparation du train
09-03-2023,Chambéry - Challes-les-Eaux,Grenoble - gare Routière,11:50:00,11:40:00,10:30:00,10,Embouteillage
09-03-2023,Clamecy,Auxerre-Saint-Gervais,06:35:00,06:25:00,05:09:00,10,Embouteillage
09-03-2023,La Bresse - Place du Champtel,Remiremont,07:06:00,07:01:00,05:58:00,5,Embouteillage
07-03-2023,Paris Austerlitz,Brive-la-Gaillarde,14:14:00,14:04:00,09:37:00,10,Panne de signalisation
08-03-2023,Toul,Allamps E.S.A.T,08:27:00,08:22:00,07:52:00,5,Embouteillage
07-03-2023,Pontarlier,Les Granges Narboz,17:50:00,17:35:00,17:25:00,15,Embouteillage
07-03-2023,Communay - Stade,Sérézin-du-Rhône,18:47:00,18:42:00,18:24:00,5,Embouteillage
09-03-2023,Forbach,Metz Ville,11:25:00,11:20:00,10:33:00,5,Prise en charge de clients en correspondance
08-03-2023,Paris Nord,Saint-Quentin,19:18:00,19:13:00,17:34:00,5,Réutilisation d'un train
07-03-2023,Besançon-Viotte,Dijon Ville,10:11:00,09:51:00,08:56:00,20,Conditions de départ non réunies
07-03-2023,Metz Ville,Luxembourg (CFL),19:27:00,19:22:00,18:31:00,5,Prise en charge de clients en correspondance
07-03-2023,Châlons-en-Champagne,Troyes Gare Routière,08:40:00,08:35:00,07:15:00,5,Embouteillage
07-03-2023,Tournai,Lille Flandres,22:02:00,21:52:00,21:22:00,10,Retard non expliqué
09-03-2023,Strasbourg,Molsheim,13:52:00,13:42:00,13:18:00,10,Réutilisation d'un train
08-03-2023,La Bresse - Place du Champtel,Remiremont,18:55:00,18:50:00,17:47:00,5,Embouteillage
08-03-2023,Montpellier Saint-Roch,Paris - Gare de Lyon - Hall 1 & 2,17:30:00,17:20:00,13:48:00,10,Présence d'un bagage abandonné
07-03-2023,Bar-le-Duc,Toul,12:31:00,12:11:00,10:54:00,20,Grève extérieure à SNCF
08-03-2023,Sélestat,Saint-Dié-des-Vosges,15:47:00,15:32:00,14:23:00,15,Embouteillage
08-03-2023,Paris - Gare de Lyon - Hall 1 & 2,Nice,16:08:00,15:58:00,09:59:00,10,Réutilisation d'un train
09-03-2023,Paris - Gare de Lyon - Hall 1 & 2,Zürich - Hauptbahnhof,16:31:00,16:26:00,12:19:00,5,Travaux sur les voies
08-03-2023,Bellegarde-sur-Valserine Gare,Évian-les-Bains,12:35:00,12:10:00,10:15:00,25,Embouteillage
08-03-2023,Capdenac,Aurillac,09:55:00,09:50:00,08:15:00,5,Embouteillage
08-03-2023,Paris Nord,Clermont de l'Oise,18:59:30,18:54:30,18:07:00,5,Réutilisation d'un train
09-03-2023,Montauban Ville Bourbon,Toulouse Matabiau,07:44:00,07:39:00,06:55:00,5,Conditions de départ non réunies
07-03-2023,Luxembourg (CFL),Bettembourg,18:30:00,18:20:00,18:09:00,10,Réutilisation d'un train
09-03-2023,Lille Flandres,Maubeuge,09:07:00,08:47:00,07:35:00,20,Réutilisation d'un train
08-03-2023,Paris Nord,Compiègne,21:35:00,20:50:00,19:37:00,45,Présence d'individus sur les voies
09-03-2023,Lyon Part Dieu,Grenoble,09:45:30,09:40:30,08:16:00,5,Mise à quai tardive en gare origine
08-03-2023,Remiremont,Bussang,09:00:00,08:55:00,08:00:00,5,Embouteillage
09-03-2023,Marseille - Saint-Charles,Toulon,15:23:00,14:38:00,13:31:00,45,Présence d'individus sur les voies
08-03-2023,Saumur,Nantes,07:51:00,07:46:00,06:22:00,5,Travaux sur les voies
09-03-2023,Beauvais - Gare SNCF,Paris Nord,14:02:00,13:57:00,12:40:00,5,Conditions de départ non réunies
08-03-2023,Bordeaux Saint-Jean,Marseille - Saint-Charles,18:40:00,18:35:00,12:28:00,5,Présence de manifestants sur les voies
09-03-2023,Dole-Ville,Lons-le-Saunier,11:25:00,11:15:00,10:15:00,10,Prise en charge de clients en correspondance
09-03-2023,Nantes,Paris - Montparnasse - Hall 1 & 2,13:30:00,13:25:00,11:05:00,5,Prise en charge de clients en correspondance
09-03-2023,Courtrai,Lille Flandres,13:56:00,13:51:00,13:13:00,5,Retard non expliqué
09-03-2023,Lyon Part Dieu,Chambéry - Challes-les-Eaux,11:24:30,11:19:30,09:50:00,5,Prise en charge de clients en correspondance
08-03-2023,Nantes,Savenay,06:59:30,06:54:30,06:21:00,5,Travaux sur les voies
09-03-2023,Nantes,Saint-Nazaire,10:14:00,09:24:00,08:38:00,50,Réutilisation d'un train
07-03-2023,Avallon,Auxerre-Saint-Gervais,19:41:00,19:36:00,18:34:00,5,Embouteillage
07-03-2023,Lille Flandres,Calais Ville,18:38:00,17:28:00,16:13:00,70,Conditions de départ non réunies
08-03-2023,Strasbourg,Haguenau,19:55:30,19:45:30,19:10:00,10,Régulation du trafic
08-03-2023,Creil,Amiens,20:26:00,20:11:00,19:10:00,15,Présence d'individus sur les voies
09-03-2023,Marseille - Saint-Charles,Marseille - Saint-Charles,07:00:00,06:55:00,06:55:00,5,Conditions de départ non réunies
08-03-2023,Toulouse Matabiau,Bayonne,18:17:00,18:12:00,13:37:00,5,Embouteillage
08-03-2023,Tours,Saint-Pierre-des-Corps,08:41:00,08:36:00,08:31:00,5,Réutilisation d'un train
07-03-2023,Le Puy-en-Velay,Clermont-Ferrand,15:28:00,15:03:00,12:20:00,25,Grève extérieure à SNCF
08-03-2023,Lens,Lille Flandres,17:26:00,17:21:00,16:40:00,5,Régulation du trafic
07-03-2023,Rennes,Vannes,18:00:00,17:55:00,16:40:00,5,Difficultés lors de la préparation du train
08-03-2023,Montpellier Saint-Roch,Paris - Gare de Lyon - Hall 1 & 2,17:30:00,17:20:00,13:48:00,10,Présence d'un bagage abandonné
08-03-2023,Saint-Georges-d'Aurac,Langeac,11:48:00,11:23:00,11:13:00,25,Embouteillage
07-03-2023,Sedan Place Calonne,La Ferté-sur-Chiers,18:05:00,18:00:00,16:56:00,5,Embouteillage
07-03-2023,Paris Nord,Saint-Quentin,08:38:00,08:13:00,06:37:00,25,Difficultés lors de la préparation du train
09-03-2023,Avignon Centre,Miramas,13:45:00,13:40:00,11:10:00,5,Embouteillage
08-03-2023,Krimmeri Meinau,Sarreguemines,20:43:30,18:53:30,17:23:00,110,Obstacle sur la voie
08-03-2023,Bordeaux Saint-Jean,Pau,15:39:00,15:34:00,13:18:00,5,Réutilisation d'un train
08-03-2023,Igney Centre,Sarrebourg,18:41:00,18:36:00,17:57:00,5,Embouteillage
08-03-2023,Hendaye,Bordeaux Saint-Jean,13:11:00,12:41:00,10:10:00,30,Conditions de départ non réunies
09-03-2023,Lille Flandres,Hazebrouck,13:14:00,13:09:00,12:23:00,5,Réutilisation d'un train
09-03-2023,Bourg-en-Bresse,Oyonnax,09:49:00,09:44:00,08:44:00,5,Difficultés lors de la préparation du train
09-03-2023,Charleroi-Central,Maubeuge,11:25:00,11:20:00,10:24:00,5,Retard non expliqué
09-03-2023,Strasbourg,Bâle - SBB,09:13:00,09:08:00,07:51:00,5,Prise en charge de clients en correspondance
07-03-2023,Bar-le-Duc,Toul,12:31:00,12:11:00,10:54:00,20,Grève extérieure à SNCF
07-03-2023,Saint-Georges-d'Aurac,Langeac,11:43:00,11:23:00,11:13:00,20,Embouteillage
08-03-2023,Roanne - Gare Routière,Saint-Etienne-Châteaucreux Gare Routière,12:18:00,12:08:00,10:00:00,10,Embouteillage
07-03-2023,Chambéry - Challes-les-Eaux,Modane,10:52:00,10:47:00,08:33:00,5,Embouteillage
07-03-2023,Bordeaux Saint-Jean,Pau,17:54:00,15:34:00,13:18:00,140,Acte de vandalisme
09-03-2023,Nantes,Ancenis,08:22:00,08:17:00,07:48:00,5,Régulation du trafic
08-03-2023,Juvancourt,Bar-sur-Aube,13:37:00,13:32:00,12:58:00,5,Embouteillage
07-03-2023,Troyes,Saint-Florentin - Vergigny,19:08:00,18:58:00,17:10:00,10,Embouteillage
08-03-2023,Cholet,Nantes,07:42:00,07:37:00,06:40:00,5,Réutilisation d'un train
08-03-2023,Commercy,Bar-le-Duc,13:11:00,13:01:00,12:19:00,10,Embouteillage
08-03-2023,Neustadt Weinstr Hbf,Wissembourg,19:31:00,19:26:00,18:36:00,5,Incident sur un réseau ferré étranger
09-03-2023,Colmar,Metzeral,08:35:00,08:25:00,07:47:00,10,Réutilisation d'un train
08-03-2023,Paris - Gare de Lyon - Hall 1 & 2,Genève - Cornavin - CFF,14:05:00,13:30:00,10:15:00,35,Mise à quai tardive en gare origine
08-03-2023,Remiremont,La Bresse - Claudel,14:02:00,13:57:00,13:00:00,5,Embouteillage
09-03-2023,Frankfurt am Main - Hauptbahnhof,Paris Est,09:58:00,09:53:00,05:47:00,5,Retard non expliqué
09-03-2023,Metz Ville,Saarbrücken - Hauptbahnhof,09:45:00,09:40:00,08:38:00,5,Réutilisation d'un train
08-03-2023,Sain-Bel,Lyon-Saint-Paul - La Feuillée,00:20:10,00:15:10,23:15:00,5,Embouteillage
08-03-2023,Saint-Florentin - Vergigny,Troyes,21:14:00,21:09:00,20:08:00,5,Embouteillage
08-03-2023,Toulon,Aubagne,13:07:30,12:42:30,11:56:00,25,Réutilisation d'un train
09-03-2023,Douai,Valenciennes,14:20:00,14:15:00,13:24:00,5,Embouteillage
07-03-2023,Calais Ville,Lille Flandres,17:52:00,17:47:00,16:31:00,5,Conditions de départ non réunies
07-03-2023,Metz Ville,Luxembourg (CFL),17:57:00,17:52:00,17:00:00,5,Réutilisation d'un train
08-03-2023,Nantes,Le Mans,09:20:00,09:15:00,07:39:00,5,Prise en charge de clients en correspondance
08-03-2023,Clamecy,Auxerre-Saint-Gervais,09:45:00,09:40:00,08:24:00,5,Embouteillage
08-03-2023,Bordeaux Saint-Jean,Hendaye,15:53:00,15:48:00,13:18:00,5,Réutilisation d'un train
08-03-2023,Lyon Part Dieu,Chambéry - Challes-les-Eaux,09:46:30,09:16:30,07:50:00,30,Réutilisation d'un train
09-03-2023,Molsheim,Strasbourg,13:17:00,13:12:00,12:48:00,5,Réutilisation d'un train
08-03-2023,Courtrai,Lille Flandres,15:51:00,14:51:00,14:13:00,60,Obstacle sur la voie
07-03-2023,Épernay,Châlons-en-Champagne,08:10:00,07:45:00,07:00:00,25,Attente du conducteur du car
08-03-2023,Saint-Maurice,Annemasse,11:08:00,11:03:00,09:04:00,5,Incident sur un réseau ferré étranger
08-03-2023,Béthune,Saint-Pol-sur-Ternoise,08:37:00,08:32:00,07:25:00,5,Embouteillage
09-03-2023,Grenoble - gare Routière,Lyon-Part-Dieu - Gare Routière,12:53:00,12:38:00,10:21:00,15,Embouteillage
06-03-2023,Chambéry - Challes-les-Eaux,Bourg-Saint-Maurice,00:30:00,00:25:00,22:00:00,5,Embouteillage
09-03-2023,Montauban Ville Bourbon,Toulouse Matabiau,08:42:00,08:27:00,07:42:00,15,Prise en charge de clients en correspondance
09-03-2023,Lille Flandres,Tournai,11:21:00,10:36:00,10:08:00,45,Réutilisation d'un train
07-03-2023,Juvancourt,Vendeuvre,19:12:00,19:07:00,18:00:00,5,Embouteillage
09-03-2023,Luxembourg (CFL),Metz Ville,06:57:00,06:42:30,05:46:00,15,Difficultés lors de la préparation du train
09-03-2023,Carhaix,Guingamp,10:22:00,10:12:00,09:07:00,10,Dérangement d'une installation en gare
08-03-2023,Toulouse Matabiau,Bayonne,14:17:00,14:12:00,09:37:00,5,Embouteillage
09-03-2023,Lille Flandres,Calais Ville,09:48:00,09:28:00,08:13:00,20,Réutilisation d'un train
07-03-2023,Metz Ville,Luxembourg (CFL),08:57:00,08:52:00,08:00:00,5,Prise en charge de clients en correspondance
08-03-2023,Rennes,Guingamp,18:55:00,18:40:00,17:35:00,15,Prise en charge de clients en correspondance
09-03-2023,Paris Nord,Saint-Quentin,08:18:00,08:13:00,06:37:00,5,Travaux sur les voies
09-03-2023,Lyon Part Dieu,Chambéry - Challes-les-Eaux,09:41:30,09:16:30,07:50:00,25,Mise à quai tardive en gare origine
08-03-2023,La Roche-sur-Yon,Chantonnay,18:22:00,18:12:00,17:41:00,10,Réutilisation d'un train
08-03-2023,Savenay,Nantes,07:51:00,07:36:00,07:03:00,15,Réutilisation d'un train
08-03-2023,Bordeaux Saint-Jean,Marseille - Saint-Charles,14:43:00,14:38:00,08:26:00,5,Régulation du trafic
07-03-2023,Lille Flandres,Courtrai,08:50:00,08:45:00,08:09:00,5,Réutilisation d'un train
09-03-2023,Saint-Quentin,Paris Nord,08:31:00,08:26:00,06:46:00,5,Régulation du trafic
09-03-2023,Les Sables-d'Olonne,Nantes,09:21:30,08:26:30,06:51:00,55,Dérangement d'une installation en gare
08-03-2023,Amiens,Laon,20:05:00,20:00:00,18:25:00,5,Régulation du trafic
09-03-2023,Loudrefing,Sarrebourg,08:54:00,08:44:00,08:10:00,10,Embouteillage
09-03-2023,Douai,Cambrai,07:44:00,06:59:00,06:25:00,45,Difficultés lors de la préparation du train
08-03-2023,Vallorbe,Frasne,07:20:00,07:05:00,05:54:00,15,Embouteillage
07-03-2023,Lille Flandres,Béthune,19:17:30,19:12:30,18:15:00,5,Régulation du trafic
08-03-2023,Strasbourg,Wissembourg,20:05:00,19:30:00,18:35:00,35,Réutilisation d'un train
07-03-2023,Montauban Ville Bourbon,Toulouse Matabiau,19:07:00,19:02:00,18:17:00,5,Réutilisation d'un train
07-03-2023,Diemeringen,Sarre-Union,13:56:00,13:51:00,13:31:00,5,Embouteillage
08-03-2023,Nantes,Saint-Nazaire,08:39:00,08:24:00,07:38:00,15,Réutilisation d'un train
08-03-2023,Brou,Chartres,18:20:00,18:15:00,17:28:00,5,Panne de signalisation
09-03-2023,Luxembourg (CFL),Metz Ville,06:57:00,06:42:30,05:46:00,15,Difficultés lors de la préparation du train
08-03-2023,Dinan,Lamballe,19:22:00,19:17:00,18:10:00,5,Embouteillage
08-03-2023,Amiens,Laon,20:05:00,20:00:00,18:25:00,5,Régulation du trafic
08-03-2023,Verdun,Metz Ville,13:02:00,12:57:00,10:37:00,5,Embouteillage
09-03-2023,Lille Flandres,Tournai,11:21:00,10:36:00,10:08:00,45,Réutilisation d'un train
09-03-2023,Toulon,Marseille - Saint-Charles,16:30:00,15:55:00,14:50:00,35,Régulation du trafic
